,post_id,date,title,description,item,article,year,month,day
0,90363,2018-10-11,5 зрительных иллюзий: от вазы Рубина до #TheDress,Как наше восприятие нас обманывает,lists,"Информация, которую мы получаем через органы чувств, может трансформироваться в зависимости от нашего опыта, потребностей или контекста. Это во многом относится к восприятию визуальных образов. Например, мы видим яблоко, но если это яблоко держит теннисист на корте, то мы можем спутать его с мячом. Эту особенность восприятия иллюстрируют зрительные иллюзии.Ваза Рубина и другие двойственные изображения         Изображение: Vase illusion/ Jeremy Stockwell// flickr.comЭту картинку придумал датский психолог Эдгар Рубин (1886–1951), и ей около ста лет. Для нее характерно то, что при неизменном воздействии на сетчатку человек способен видеть два объекта по очереди: либо два профиля, либо вазу. Широко известна карикатура на изображения Рубина «Жена или теща», на которой узнается одновременно девушка и пожилая женщина. Эта картинка появилась практически одновременно с вазой, но попала в поле зрения психологов только в 1930 году благодаря американскому экспериментальному психологу Эдвину Борингу. Подобные изображения указывают на двойственную природу восприятия: с одной стороны, в них есть чувственная основа, которая определяется внешним воздействием, и предметное содержание, которое мы вкладываем в образ на основе нашего опыта. Кроме того, на примере вазы объясняются важные для гештальтпсихологии понятия фигуры (очерчена контуром и локализована в пространстве) и фона. Если мы видим профили, то они как бы выступают из фона, при переключении восприятия на вазу из фона выходит уже она. Это называется гамма-движением.    Рекомендуем по этой теме:                    Что такое реальность?        Философ Диана Гаспарян о нашем восприятии реальности, трансцендентализме и невозможности устранить наблюдателя             О неоднозначности восприятия и двойственных изображенияхИллюзия ПонцоЭтот феномен также называют иллюзией железнодорожных путей. Итальянский психолог Марио Понцо в 1913 году предположил, что мозг человека определяет размер объекта по его фону, и продемонстрировал это, нарисовав два равных отрезка на фоне двух сходящихся вверху линий, напоминающих уходящее вдаль железнодорожное полотно. Верхний отрезок кажется нам больше. Дело в том, что мозг интерпретирует рисунок как перспективу: все, что удалено от нас, кажется нам меньше, чем объекты, находящиеся близко. В случае с равными отрезками мы делаем поправку на это знание: мы думаем, что верхний отрезок расположен дальше, и полагаем, что его размер больше. В психологии это объясняется теорией Гельмгольца. В этой теории различаются первичный образ — то, что возникает в голове непосредственно в результате воздействия, — и образ-представление — это наши знания, позволяющие нам опознать объект.О теории Гельмгольца и механизмах человеческого восприятия информацииКрасная клубника и #TheDress         Akiyoshi Kitaoka // TwitterНесколько лет назад в интернете спорили о том, какого цвета платье на фотографии: черно-синее или бело-золотое. Выяснилось, что на самом деле оно ярко-синее с черным кружевом, однако множество людей по-прежнему видят его в других цветах. Нейробиологи объясняют это хроматической адаптацией. Этот механизм был выработан в процессе эволюции, чтобы лучше ориентироваться в пространстве и различать предметы. Из-за яркого света на заднем плане человек воспринимает голубые оттенки на фотографии как тени и игнорирует их, из-за чего платье для него выглядит белым. Точно так же те, кто видит платье черным, не обращают внимания на золотые оттенки.    Рекомендуем по этой теме:                    Как завершить гештальт?        Психолог Кирилл Хломов об удовлетворении актуализированных потребностей, эффекте незавершенного действия и том, как закрыть гештальт             Это явление связано с таким психологическим феноменом, как константность восприятия. Это свойство зрительного образа оставаться неизменным при изменении условий восприятия. Мы видим нашу любимую рубашку синей как при свете дня, так и в плохо освещенной комнате, так как мы автоматически учитываем информацию об уровне освещения. Но если убрать эту информацию, мы увидим рубашку в разных цветах. Этот же механизм иллюстрирует фото, предложенное профессором психологии Университета Ритсумейкан Акиёши Китаокой: мы видим клубнику красной, хотя на изображении нет ни одного красного пикселя.О влиянии наших знаний о мире на восприятиеНевидимая гориллаМы замечаем далеко не все, что происходит вокруг, даже если событие или объект находится в поле нашего зрения. В 1970-х годах Ульрик Найссер провел эксперимент: участникам показывали по телевизору баскетбольный матч и просили следить за передачами мяча, с чем большинство справлялось успешно. Но зрители, сконцентрированные на пасах, не замечали девушку с зонтом, которая проходила на экране во время игры из угла в угол. Если люди отвлекались от перемещений мяча, они видели девушку. Через 30 лет этот эксперимент воспроизвел чикагский психолог Дэниел Саймонс, но теперь вместо девушки между игроками перемещался человек в костюме гориллы. Это явление назвали «слепотой по невниманию».Другой распространенный феномен — слепота к изменению. Мы можем не заметить изменения, если оно произойдет в момент, когда мы ненадолго отвлеклись от предмета, на котором были сконцентрированы. В эксперименте с гориллой те зрители, которые заранее знали о ней, не замечали изменений цвета занавеса, на фоне которого происходило действие. Также существует слепота к повторению: мы можем не замечать один из двух дублирующих друг друга объектов, например два одинаковых слова подряд в текстовом редакторе — именно поэтому одно из них программа выделяет красным подчеркиванием. И наконец, мы можем не видеть того, чего сами не хотим замечать, — так происходит в случае с баннерной рекламой в интернете.    Рекомендуем по этой теме:                    Что такое когнитивный диссонанс?        Психолог Дмитрий Леонтьев о связи когнитивного диссонанса с теорией мотивации, экспериментах на сектантах и определении бессознательного             О фокусе внимания и явлении «слепоты»Фи-феномен         Изображение: giphy.comВ 1912 году Макс Вертхаймер опубликовал описание этого феномена. Он заметил, что когда мы наблюдаем два точечных источника света, которые мигают по очереди, то воспринимаем это как перемещение света из одной точки в другую, хотя этого на самом деле не происходит. В психологии в то время считалось, что мы видим только крайние позиции (точка светится — точка не светится), между которыми нет промежуточных действий. Этот феномен натолкнул Вертхаймера на идею, что целое может определять восприятие его частей. Так зародилась гештальтпсихология.О роли фи-феномена в гештальтпсихологии",2018,10,11
1,90363,2018-10-11,5 зрительных иллюзий: от вазы Рубина до #TheDress,Как наше восприятие нас обманывает,lists,"Информация, которую мы получаем через органы чувств, может трансформироваться в зависимости от нашего опыта, потребностей или контекста. Это во многом относится к восприятию визуальных образов. Например, мы видим яблоко, но если это яблоко держит теннисист на корте, то мы можем спутать его с мячом. Эту особенность восприятия иллюстрируют зрительные иллюзии.Ваза Рубина и другие двойственные изображения         Изображение: Vase illusion/ Jeremy Stockwell// flickr.comЭту картинку придумал датский психолог Эдгар Рубин (1886–1951), и ей около ста лет. Для нее характерно то, что при неизменном воздействии на сетчатку человек способен видеть два объекта по очереди: либо два профиля, либо вазу. Широко известна карикатура на изображения Рубина «Жена или теща», на которой узнается одновременно девушка и пожилая женщина. Эта картинка появилась практически одновременно с вазой, но попала в поле зрения психологов только в 1930 году благодаря американскому экспериментальному психологу Эдвину Борингу. Подобные изображения указывают на двойственную природу восприятия: с одной стороны, в них есть чувственная основа, которая определяется внешним воздействием, и предметное содержание, которое мы вкладываем в образ на основе нашего опыта. Кроме того, на примере вазы объясняются важные для гештальтпсихологии понятия фигуры (очерчена контуром и локализована в пространстве) и фона. Если мы видим профили, то они как бы выступают из фона, при переключении восприятия на вазу из фона выходит уже она. Это называется гамма-движением.    Рекомендуем по этой теме:                    Что такое реальность?        Философ Диана Гаспарян о нашем восприятии реальности, трансцендентализме и невозможности устранить наблюдателя             О неоднозначности восприятия и двойственных изображенияхИллюзия ПонцоЭтот феномен также называют иллюзией железнодорожных путей. Итальянский психолог Марио Понцо в 1913 году предположил, что мозг человека определяет размер объекта по его фону, и продемонстрировал это, нарисовав два равных отрезка на фоне двух сходящихся вверху линий, напоминающих уходящее вдаль железнодорожное полотно. Верхний отрезок кажется нам больше. Дело в том, что мозг интерпретирует рисунок как перспективу: все, что удалено от нас, кажется нам меньше, чем объекты, находящиеся близко. В случае с равными отрезками мы делаем поправку на это знание: мы думаем, что верхний отрезок расположен дальше, и полагаем, что его размер больше. В психологии это объясняется теорией Гельмгольца. В этой теории различаются первичный образ — то, что возникает в голове непосредственно в результате воздействия, — и образ-представление — это наши знания, позволяющие нам опознать объект.О теории Гельмгольца и механизмах человеческого восприятия информацииКрасная клубника и #TheDress         Akiyoshi Kitaoka // TwitterНесколько лет назад в интернете спорили о том, какого цвета платье на фотографии: черно-синее или бело-золотое. Выяснилось, что на самом деле оно ярко-синее с черным кружевом, однако множество людей по-прежнему видят его в других цветах. Нейробиологи объясняют это хроматической адаптацией. Этот механизм был выработан в процессе эволюции, чтобы лучше ориентироваться в пространстве и различать предметы. Из-за яркого света на заднем плане человек воспринимает голубые оттенки на фотографии как тени и игнорирует их, из-за чего платье для него выглядит белым. Точно так же те, кто видит платье черным, не обращают внимания на золотые оттенки.    Рекомендуем по этой теме:                    Как завершить гештальт?        Психолог Кирилл Хломов об удовлетворении актуализированных потребностей, эффекте незавершенного действия и том, как закрыть гештальт             Это явление связано с таким психологическим феноменом, как константность восприятия. Это свойство зрительного образа оставаться неизменным при изменении условий восприятия. Мы видим нашу любимую рубашку синей как при свете дня, так и в плохо освещенной комнате, так как мы автоматически учитываем информацию об уровне освещения. Но если убрать эту информацию, мы увидим рубашку в разных цветах. Этот же механизм иллюстрирует фото, предложенное профессором психологии Университета Ритсумейкан Акиёши Китаокой: мы видим клубнику красной, хотя на изображении нет ни одного красного пикселя.О влиянии наших знаний о мире на восприятиеНевидимая гориллаМы замечаем далеко не все, что происходит вокруг, даже если событие или объект находится в поле нашего зрения. В 1970-х годах Ульрик Найссер провел эксперимент: участникам показывали по телевизору баскетбольный матч и просили следить за передачами мяча, с чем большинство справлялось успешно. Но зрители, сконцентрированные на пасах, не замечали девушку с зонтом, которая проходила на экране во время игры из угла в угол. Если люди отвлекались от перемещений мяча, они видели девушку. Через 30 лет этот эксперимент воспроизвел чикагский психолог Дэниел Саймонс, но теперь вместо девушки между игроками перемещался человек в костюме гориллы. Это явление назвали «слепотой по невниманию».Другой распространенный феномен — слепота к изменению. Мы можем не заметить изменения, если оно произойдет в момент, когда мы ненадолго отвлеклись от предмета, на котором были сконцентрированы. В эксперименте с гориллой те зрители, которые заранее знали о ней, не замечали изменений цвета занавеса, на фоне которого происходило действие. Также существует слепота к повторению: мы можем не замечать один из двух дублирующих друг друга объектов, например два одинаковых слова подряд в текстовом редакторе — именно поэтому одно из них программа выделяет красным подчеркиванием. И наконец, мы можем не видеть того, чего сами не хотим замечать, — так происходит в случае с баннерной рекламой в интернете.    Рекомендуем по этой теме:                    Что такое когнитивный диссонанс?        Психолог Дмитрий Леонтьев о связи когнитивного диссонанса с теорией мотивации, экспериментах на сектантах и определении бессознательного             О фокусе внимания и явлении «слепоты»Фи-феномен         Изображение: giphy.comВ 1912 году Макс Вертхаймер опубликовал описание этого феномена. Он заметил, что когда мы наблюдаем два точечных источника света, которые мигают по очереди, то воспринимаем это как перемещение света из одной точки в другую, хотя этого на самом деле не происходит. В психологии в то время считалось, что мы видим только крайние позиции (точка светится — точка не светится), между которыми нет промежуточных действий. Этот феномен натолкнул Вертхаймера на идею, что целое может определять восприятие его частей. Так зародилась гештальтпсихология.О роли фи-феномена в гештальтпсихологии",2018,10,11
2,89785,2018-10-10,Можно ли что-то чувствовать в бессознательном состоянии?,Невролог Дмитрий Сергеев о способности воспринимать информацию и понимать шутки при нарушениях сознания,faq,"Сознание субъективно, и поэтому не существует методов, позволяющих однозначно оценить его наличие у другого человека. Мы можем понять, воспринимает ли он окружающую действительность, ориентируясь только на внешние признаки, его реакцию на окружающее или ее отсутствие. На этом основан клинический осмотр пациентов с нарушениями сознания: им предъявляют определенный набор стимулов — визуальных, слуховых, тактильных, болевых — различной степени сложности и оценивают их ответную реакцию, по которой можно установить, имеются ли у пациента признаки осознанного поведения. Например, если человек реагирует на обращенную к нему речь (скажем, пытается по команде перевести взгляд на тот или иной предмет), то можно сделать вывод о том, что он слышит и понимает нас, а значит, скорее всего, находится в сознании.    Рекомендуем по этой теме:                    Мозг и сенсорные системы        Биолог Вячеслав Дубынин о строении сенсорных систем, карте рецепторных поверхностей и функции таламуса             В большинстве случаев отсутствие реакции действительно говорит о том, что пациент не способен воспринимать зрительную и слуховую информацию, а реакции на болевой раздражитель представляют собой всего лишь рефлекторные защитные движения, не требующие участия сознания. Однако в случае, когда реакция полностью отсутствует, мы не можем однозначно утверждать, что у пациента отсутствует сознание, — возможно, он способен воспринимать внешние стимулы, но не в состоянии продемонстрировать нам это (например, вследствие невозможности движений конечностями). Чтобы выявить эту небольшую долю пациентов со «скрытым сознанием», используются дополнительные методы исследования, в первую очередь функциональная нейровизуализация. Например, в одном случае у пациентки, которая клинически находилась в вегетативном состоянии и не демонстрировала осознанной реакции на внешние раздражители, при проведении фМРТ в ответ на просьбу вообразить, будто она играет в теннис, активировались соответствующие зоны коры головного мозга, что согласовывалось с реакцией на аналогичную команду у здорового добровольца. Когда пациентку просили вообразить, что она ходит по комнатам своего дома, у нее активировались другие зоны коры, которые у здоровых людей отвечают за пространственную навигацию. В другом случае удалось даже добиться контакта с пациентом с помощью фМРТ: в качестве ответа на вопрос («да» или «нет») он воображал движение или перемещение по комнате, и исследователи могли дифференцировать его ответы. Еще одним способом выявить скрытые признаки сознания являются тесты с избирательным вниманием, когда пациентов во время фМРТ просят считать одни звуковые стимулы и не обращать внимания на другие. Если в ответ на задание активируются различные нейронные сети, это может свидетельствовать об осознанном восприятии команды. Сходных результатов удалось добиться и при использовании ЭЭГ: у небольшой доли пациентов, которые клинически не проявляли признаков сознания, в ответ на команду представить определенное движение или попробовать его выполнить регистрировались отчетливые изменения, свидетельствующие о следовании инструкции. Также был предложен способ регистрации миограммы мимических мышц при предъявлении пациентам фраз, часть из которых были шутками. В ответ на шутку у одного из пациентов, который клинически соответствовал вегетативному состоянию, отмечалось сокращение мышц лица, как у здоровых добровольцев; в ответ на нейтральную фразу реакции не было. Это может косвенно свидетельствовать о наличии способности воспринимать речь и анализировать информацию, а также о сохранности эмоциональных реакций.В ряде случаев по данным ПЭТ и фМРТ у пациентов регистрировалась более выраженная, чем характерно для вегетативного состояния, изолированная активация соответствующих зон ассоциативной коры в ответ на значимые для пациента звуки и образы. Однако утверждать, что такие пациенты осознанно воспринимают информацию, к сожалению, нельзя.Описанные случаи возможной осознанной реакции на внешние стимулы получили название «функциональный синдром locked-in». Считается, что в его основе лежит нарушение связности между корой и подкорковыми структурами (в частности, между таламусом и первичной моторной корой), что препятствует выполнению целенаправленных движений. Часть пациентов с признаками «скрытого сознания» в дальнейшем демонстрировали хорошее восстановление, несмотря на исходное отсутствие внешних осознанных реакций. Само собой, такие случаи крайне редки, однако они убедительно свидетельствуют о неоднородности пациентов с хроническими нарушениями сознания и необходимости поиска новых методов исследования сознания.Вопрос, который имеет важное клиническое и этическое значение, — способность пациентов чувствовать боль. По данным ПЭТ, в ответ на интенсивный болевой раздражитель у пациентов в вегетативном состоянии отмечалась активация среднего мозга, таламуса и первичной соматосенсорной коры в виде отдельных «островков», функционально изолированных от зон ассоциативной коры высшего порядка, активация которых формирует паттерн ответа на болевой раздражитель у здоровых лиц. Таким образом, скорее всего, у этих пациентов не формируется осознанное восприятие боли, а наблюдаемые двигательные реакции на болевой стимул носят рефлекторный характер. Тем не менее очень важно выявлять и своевременно лечить болевой синдром, который может быть связан со спастичностью, пролежнями, переломами, ориентируясь на двигательные реакции пациента, выражение лица и так далее.",2018,10,10
3,89799,2018-10-04,Микрохирургия глаза,"Биолог Алексей Ердяков о том, как развивается хирургия зрения, что такое мембраны на сетчатке и какие заболевания глаз лучше лечить препаратами",faq,"Если долго напрягать глаза: сидеть за компьютером, читать в транспорте или в темноте, — появляются нарушения зрения, связанные с дефектами аккомодации. Страдает преломляющая способность хрусталика, потому что мышцы неправильно реагируют на световые сигналы. Нужно давать глазам отдохнуть, смотреть вдаль. Эти состояния не требуют радикального вмешательства или жесткой коррекции.Офтальмология сейчас развивается так же, как стоматология, и профилактика проблем со зрением уже стала как профилактика кариеса. Сходить к стоматологу, чтобы вылечить кариес или поставить пломбу, — обычное дело. В офтальмологии происходит то же самое: лазерная коррекция близорукости или дальнозоркости — это тривиальная операция. Роговицу можно скорректировать, ее степень преломления изменится, и человек будет нормально видеть. Чтобы заменить хрусталик даже не нужно надолго ложиться в больницу. Выбор хрусталиков велик, как и ассортимент материалов для пломб.Но есть заболевания глаз, которые требуют опасного и сложного микрохирургического вмешательства. Иногда необходима энуклеация глаза целиком: глаз нужно вырезать, потому что он не поддается коррекции.    Рекомендуем по этой теме:                    Глаз и фоторецепторы        Физиолог Вячеслав Дубынин о строении глаза, мутациях кристаллина и пигментах палочек и колбочек             Фармакотерапия глазных заболеванийДля лечения глазных заболеваний еще пару десятилетий назад не было очень большого разнообразия препаратов. Теперь их количество на фармацевтическом рынке растет. Это вещества местного применения: противомикробные препараты, препараты, снижающие внутриглазное давление, анестетики, противовоспалительные вещества — глюкокортикостероиды, нестероидные противовоспалительные средства.С некоторыми поражениями сетчатки можно бороться не микрохирургически, а с помощью лекарств. Например, возрастная макулярная дегенерация, ее влажная форма — разрастание новых кровеносных сосудов в области макулы структура глаза, которая отвечает за самую высокую остроту зрения — приводит к быстрому снижению центрального зрения. Можно хирургически «прижигать» новообразованные сосуды, а можно применять фармакотерапию ингибиторами VEGF — сосудистого эндотелиального фактора роста. Это моноклональные антитела — препараты, которые дорого разрабатывать, но сейчас их применяют все чаще и чаще. Такие лекарственные средства выпускают в форме растворов для интравитреального введения — инъекции внутрь стекловидного тела глаза, чтобы доставка была адресной и прямой.Однако даже сама инъекция внутрь стекловидного тела — опасная процедура: всегда есть небольшой риск, что будет травмирована сетчатка. Осложнением в таком случае может быть пролиферативная витреоретинопатия — заболевание, при котором над сетчаткой образуются фиброзно-клеточные эпиретинальные мембраны. Эпиретинальные мембраны — это завершающий этап ранозаживления сетчатки после ее повреждения, как рубец после пореза.Удаление мембран над сетчаткойНаличие мембраны над сетчаткой приводит к ухудшению зрения, а по мере прогрессирования заболевания зрение и вовсе может пропасть. Сначала происходит потеря какой-то области зрения: мембрана закрывает часть сетчатки, свет на нее не попадает, и мозг не получает зрительную информацию с этого участка сетчатки. Затем клетки мембраны немного изменяются, мембрана приобретает сократительную способность, и сетчатка отслаивается, формируя складки. В запущенных случаях большие области сетчатки могут зарасти соединительной тканью и привести к полной потере зрения. Кроме того, отслойка сетчатки нарушит ее кровоснабжение со стороны хориоидеи сосудистая оболочка глаза, включится ишемический компонент, и нейрональные клетки погибнут еще быстрее.Микрохирургия глаза — это действительно сложно. Нужно проникнуть внутрь очень маленького органа и аккуратно провести операцию. Чтобы удалить мембрану с поверхности сетчатки, в глазном яблоке проделывают несколько маленьких отверстий: через одни вводят инструменты, другие выравнивают давление внутри глаза. Сформировавшаяся над сетчаткой мембрана прозрачная, и ее нужно визуализировать. Например, можно использовать сульфат бария: порошок сульфата бария ложится на мембрану, и, когда хирург щипцами снимает мембрану, он видит, что мембрана отходит. Сульфат бария не растворяется, после операции его нужно вымывать из глаза. Можно использовать суспензии глюкокортикостероидов, тоже белые порошки. Глюкокортикостероиды обладают противовоспалительным действием и с течением времени растворяются. Офтальмопатология и эксперименты на животныхБольшинство экспериментов по испытанию препаратов от глазных заболеваний проводят на кроликах и крысах. У кроликов большие глаза, с которыми удобно работать, зато крысы просты для содержания, поэтому в рамках эксперимента можно сделать большую выборку и аппроксимировать результаты на человека. Безусловно, между крысиным глазом и человеческим существуют различия: у человека маленький хрусталик, большое стекловидное тело, а у крыс маленькое стекловидное тело и крупный хрусталик, но по структуре сетчатки они очень близки.  В двух моделях пролиферативной витреоретинопатии мы проверяли эффективность двух препаратов. Лорноксикам — это нестероидный противовоспалительный препарат, неселективный ингибитор циклооксигеназ, а триамцинолон — это глюкокортикостероид. В клинике во время операций в глаз вводят суспензию триамцинолона, чтобы визуализировать соединительнотканную мембрану. Это лучше, чем сульфат бария, потому что триамцинолон оказывает противовоспалительный эффект и растворяется.     Рекомендуем по этой теме:                    Новые технологии в лечении болезней зрения        Биолог Сергей Киселев об амаврозе Лебера, возрастных заболеваниях глаз и трансплантации эмбриональных стволовых клеток             Сначала мы вводили внутрь стекловидного тела провокатор воспалительной реакции. Одной экспериментальной группе — конканавалин, который активирует тучные клетки и Т-клетки. В этой модели аутоиммунный компонент был более выражен, нарушалась проницаемость гематоофтальмического барьера. Внутриглазное воспаление развивается вследствие прокола глазного яблока и усиливается на фоне прямой активации тучных клеток конканавалином: высвобождается гистамин, расширяются кровеносные сосуды, увеличивается их проницаемость. Другой группе мы вводили диспазу — это фермент, который разрушает внеклеточный матрикс — структуры, формирующие межклеточные контакты. После введения диспазы реализуется регматогенная отслойка сетчатки: клетки теряют контакт друг с другом, и сетчатка отслаивается. Это две разные модели, но каждая по-своему приводит к активации воспалительной реакции и формированию соединительнотканных мембран.Мы вводили либо конканавалин, либо диспазу в зависимости от экспериментальной группы, а через 20 минут после этого вводили внутрь стекловидного тела либо лорноксикам, либо триамцинолон, либо физиологический раствор (в качестве контрольной группы). На первые и вторые сутки после этого мы системно вводили поддерживающую дозу этих препаратов.Получилось, что в группе с лорноксикамом частота развития пролиферативной витреоретинопатии была значимо меньше, чем в группе без лечения и в группе с введением триамцинолона. В группе с введением триамцинолона сетчатка выглядела не очень хорошо по морфологическим показателям, частота развития катаракт была выше, поскольку глюкокортикостероиды сами по себе вызывают развитие катаракты в качестве нежелательной лекарственной реакции. На двух моделях в плане формирования соединительнотканных мембран и развития пролиферативной витреоретинопатии лучше себя показал именно лорноксикам, а не триамцинолон.Мы попытались прощупать регуляторные контуры: определяли уровни экспрессии мРНК генов циклооксигеназ, простагландинсинтаз, нейротрофических факторов и VEGF в сетчатке и стекловидном теле, изучали продукцию белков циклооксигеназ в разных слоях сетчатки. Оказалось, что циклооксигеназы в ранний период развития воспалительной реакции — перспективная мишень воздействия при пролиферативных заболеваниях сетчатки. Получается хорошая профилактика развития пролиферативной витреоретинопатии. Напрашивается практический вывод: стоит применять лорноксикам в клинической практике при проведении любых травмирующих операций на глазах. Введение лорноксикама внутрь стекловидного тела при хирургическом удалении эпиретинальной мембраны должно отодвигать сроки рецидива пролиферативной витреоретинопатии и снижать вероятность развития очередной мембраны.    Рекомендуем по этой теме:                    Гетерохромия        Биолог Сергей Киселев о значении эпигенетики, механизмах дозовой компенсации и причинах появления гетерохромии             Лорноксикам пока не зарегистрирован для внутриглазного применения. Мы, имея в виду возможность практического выхода, пытаемся осознать механизмы патогенеза пролиферативных заболеваний сетчатки. Выход в практическую сферу, клиническую практику, является перспективным продолжением наших исследований.Развитие хирургии зренияПодходы к хирургической коррекции зрения стремительно совершенствуются. Это касается не только переднего отрезка глаза, но и заднего, несмотря на труднодоступность структур глазного яблока. Если раньше для совершения манипуляций необходимо было делать разрез глазного яблока, то теперь операции можно проводить через микроточки. Используемые при операциях микроскопы становятся из года в год мощнее, благодаря чему можно изучать и оперировать мельчайшие участки сетчатки. По-прежнему актуален поиск новых фармакотерапевтических способов лечения заболеваний глаз или фармакологическое сопровождение операционных процедур для снижения частоты рецидивов. Во-первых, стоит помнить, что не все глазные заболевания можно скорректировать хирургическим путем. Во-вторых, важно понимать, что фармакотерапия пролиферативной витреоретинопатии на ранних этапах развития заболевания, когда эпиретинальные мембраны еще не сформировались, позволит с наибольшей вероятностью сохранить зрение как можно дольше и отодвинуть сроки хирургического вмешательства. В случае тщательного изучения заболевания и выявления ключевых звеньев его патогенеза возможен полный успех фармакотерапии: хирургическое вмешательство и вовсе может не потребоваться.",2018,10,04
